Hydrolab DS5 45497
"Log File Name : JUNE 5"
"Setup Date (M/D/YYYY) : 6/4/2008"
"Setup Time (HH:MM:SS) : 18:24:03"
"Starting Date (M/D/YYYY) : 6/5/2008"
"Starting Time (HH:MM:SS) : 12:00:00"
"Stopping Date (M/D/YYYY) : 6/19/2008"
"Stopping Time (HH:MM:SS) : 12:00:00"
"Interval (HH:MM:SS) : 00:15:00"
"Sensor warmup (HH:MM:SS) : 00:02:00"
"Circltr warmup (HH:MM:SS) : 00:02:00"

"Date","Time","","IBatt","","Temp","","SpCond","","TurbSC","","PAR","","LDO%","","LDO",""
"M/D/YYYY","HH:MM:SS","","%Left","","°C","","mS/cm","","NTU","","µE/s/m²","","Sat","","mg/l",""

6/6/2008,13:30:00,"","84","","7.89","","0.2","","8.5","","787","","100.6","","11.96",""
6/6/2008,13:45:00,"","84","","8.01","","0.2","","5.9","","839","","100.9","","11.95",""
6/6/2008,14:00:00,"","84","","8.17","","0.2","","4.3","","930","","101.4","","11.97",""
6/6/2008,14:15:00,"","84","","8.26","","0.1","","5.2","","677","","101.6","","11.97",""
6/6/2008,14:30:00,"","84","","8.43","","0.2","","5.1","","845","","101.9","","11.95",""
6/6/2008,14:45:00,"","84","","8.60","","0.2","","5.3","","165","","102.1","","11.92",""
6/6/2008,15:00:00,"","82","","8.70","","0.2","","4.5","","123","","102.2","","11.91",""
6/6/2008,15:15:00,"","82","","8.78","","0.2","","4.6","","145","","102.2","","11.89",""
6/6/2008,15:30:00,"","82","","8.87","","0.2","","5.2","","159","","102.4","","11.89",""
6/6/2008,15:45:00,"","82","","8.96","","0.2","","4.8","","129","","102.5","","11.87",""
6/6/2008,16:00:00,"","82","","9.05","","0.2","","6.2","","107","","102.5","","11.85",""
6/6/2008,16:15:00,"","82","","9.16","","0.2","","3.3","","142","","102.8","","11.85",""
6/6/2008,16:30:00,"","82","","9.27","","0.2","","3.6","","215","","102.7","","11.81",""
6/6/2008,16:45:00,"","82","","9.39","","0.2","","4.8","","267","","103.0","","11.80",""
6/6/2008,17:00:00,"","82","","9.44","","0.2","","5.4","","134","","103.1","","11.80",""
6/6/2008,17:15:00,"","82","","9.42","","0.2","","5.0","","44","","102.7","","11.76",""
6/6/2008,17:30:00,"","82","","9.29","","0.2","","5.0","","59","","102.1","","11.73",""
6/6/2008,17:45:00,"","82","","9.15","","0.2","","4.7","","96","","101.7","","11.73",""
6/6/2008,18:00:00,"","82","","9.02","","0.2","","4.4","","139","","101.1","","11.70",""
6/6/2008,18:15:00,"","82","","8.89","","0.2","","4.9","","169","","100.7","","11.69",""
6/6/2008,18:30:00,"","81","","8.79","","0.2","","5.0","","173","","100.4","","11.68",""
6/6/2008,18:45:00,"","82","","8.78","","0.2","","4.0","","163","","100.4","","11.68",""
6/6/2008,19:00:00,"","82","","8.81","","0.2","","3.6","","152","","100.4","","11.67",""
6/6/2008,19:15:00,"","82","","8.80","","0.2","","4.9","","150","","100.2","","11.65",""
6/6/2008,19:30:00,"","81","","8.79","","0.2","","4.5","","150","","100.1","","11.64",""
6/6/2008,19:45:00,"","81","","8.78","","0.2","","4.3","","129","","99.9","","11.62",""
6/6/2008,20:00:00,"","81","","8.78","","0.2","","4.2","","127","","99.7","","11.60",""
6/6/2008,20:15:00,"","81","","8.75","","0.2","","4.0","","96","","99.7","","11.60",""
6/6/2008,20:30:00,"","81","","8.72","","0.2","","3.8","","99","","99.6","","11.60",""
6/6/2008,20:45:00,"","81","","8.70","","0.2","","4.2","","84","","99.4","","11.58",""
6/6/2008,21:00:00,"","81","","8.68","","0.2","","4.4","","81","","99.2","","11.56",""
6/6/2008,21:15:00,"","81","","8.65","","0.2","","3.6","","51","","99.0","","11.55",""
6/6/2008,21:30:00,"","81","","8.59","","0.2","","3.8","","43","","98.5","","11.52",""
6/6/2008,21:45:00,"","81","","8.52","","0.2","","3.4","","50","","98.2","","11.49",""
6/6/2008,22:00:00,"","81","","8.45","","0.2","","4.0","","40","","98.0","","11.48",""
6/6/2008,22:15:00,"","81","","8.40","","0.2","","3.8","","36","","97.7","","11.47",""
6/6/2008,22:30:00,"","81","","8.35","","0.2","","3.3","","24","","97.5","","11.45",""
6/6/2008,22:45:00,"","81","","8.29","","0.2","","3.5","","21","","97.2","","11.43",""
6/6/2008,23:00:00,"","81","","8.23","","0.2","","3.8","","13","","96.9","","11.42",""
6/6/2008,23:15:00,"","81","","8.16","","0.2","","3.2","","11","","96.4","","11.38",""
6/6/2008,23:30:00,"","81","","8.09","","0.2","","3.4","","10","","96.0","","11.36",""
6/6/2008,23:45:00,"","81","","8.01","","0.2","","2.6","","8","","95.8","","11.35",""
6/7/2008,00:00:00,"","79","","7.93","","0.2","","3.1","","6","","95.4","","11.33",""
6/7/2008,00:15:00,"","79","","7.85","","0.2","","3.3","","5","","95.1","","11.31",""
6/7/2008,00:30:00,"","79","","7.78","","0.2","","3.1","","5","","94.8","","11.30",""
6/7/2008,00:45:00,"","79","","7.71","","0.2","","2.8","","5","","94.4","","11.27",""
6/7/2008,01:00:00,"","79","","7.63","","0.2","","2.6","","3","","94.2","","11.27",""
6/7/2008,01:15:00,"","79","","7.56","","0.2","","3.2","","3","","94.0","","11.27",""
6/7/2008,01:30:00,"","79","","7.49","","0.2","","3.7","","3","","93.7","","11.24",""
6/7/2008,01:45:00,"","79","","7.43","","0.2","","3.4","","3","","93.4","","11.23",""
6/7/2008,02:00:00,"","79","","7.37","","0.2","","3.2","","2","","93.2","","11.22",""
6/7/2008,02:15:00,"","79","","7.32","","0.2","","3.0","","4","","92.9","","11.20",""
6/7/2008,02:30:00,"","79","","7.25","","0.2","","2.8","","3","","92.7","","11.20",""
6/7/2008,02:45:00,"","77","","7.19","","0.2","","2.9","","4","","92.5","","11.18",""
6/7/2008,03:00:00,"","79","","7.12","","0.2","","3.1","","5","","92.3","","11.18",""
6/7/2008,03:15:00,"","79","","7.05","","0.2","","2.4","","6","","92.2","","11.19",""
6/7/2008,03:30:00,"","77","","6.98","","0.2","","2.4","","8","","92.0","","11.18",""
6/7/2008,03:45:00,"","77","","6.91","","0.2","","3.2","","10","","92.0","","11.20",""
6/7/2008,04:00:00,"","77","","6.84","","0.2","","2.3","","12","","91.9","","11.21",""
6/7/2008,04:15:00,"","77","","6.76","","0.2","","2.7","","16","","91.7","","11.21",""
6/7/2008,04:30:00,"","77","","6.69","","0.2","","2.5","","22","","91.7","","11.23",""
6/7/2008,04:45:00,"","77","","6.62","","0.2","","2.7","","26","","91.8","","11.27",""
6/7/2008,05:00:00,"","77","","6.55","","0.2","","2.6","","29","","91.6","","11.25",""
6/7/2008,05:15:00,"","77","","6.49","","0.2","","2.4","","35","","91.7","","11.29",""
6/7/2008,05:30:00,"","77","","6.42","","0.2","","3.0","","42","","91.7","","11.30",""
6/7/2008,05:45:00,"","76","","6.37","","0.2","","2.4","","48","","91.8","","11.33",""
6/7/2008,06:00:00,"","77","","6.32","","0.2","","2.0","","51","","91.8","","11.34",""
6/7/2008,06:15:00,"","76","","6.27","","0.2","","2.6","","59","","92.1","","11.39",""
6/7/2008,06:30:00,"","76","","6.22","","0.2","","2.1","","87","","92.1","","11.41",""
6/7/2008,06:45:00,"","76","","6.19","","0.2","","2.1","","127","","92.4","","11.45",""
6/7/2008,07:00:00,"","76","","6.17","","0.2","","2.1","","175","","92.6","","11.49",""
6/7/2008,07:15:00,"","76","","6.16","","0.2","","1.6","","221","","92.9","","11.53",""
6/7/2008,07:30:00,"","76","","6.15","","0.2","","2.7","","257","","93.3","","11.57",""
6/7/2008,07:45:00,"","76","","6.15","","0.2","","2.2","","440","","93.4","","11.59",""
6/7/2008,08:00:00,"","76","","6.16","","0.2","","7.9","","422","","93.8","","11.64",""
6/7/2008,08:15:00,"","76","","6.18","","0.2","","1.1","","471","","94.1","","11.67",""
6/7/2008,08:30:00,"","76","","6.21","","0.2","","2.0","","457","","94.4","","11.70",""
6/7/2008,08:45:00,"","76","","6.24","","0.2","","1.4","","434","","94.6","","11.72",""
6/7/2008,09:00:00,"","76","","6.29","","0.2","","1.5","","452","","94.9","","11.74",""
6/7/2008,09:15:00,"","76","","6.34","","0.2","","1.1","","519","","95.4","","11.78",""
6/7/2008,09:30:00,"","76","","6.41","","0.2","","0.6","","648","","95.6","","11.79",""
6/7/2008,09:45:00,"","76","","6.48","","0.2","","1.1","","546","","96.0","","11.82",""
6/7/2008,10:00:00,"","74","","6.56","","0.2","","0.8","","556","","96.4","","11.85",""
6/7/2008,10:15:00,"","74","","6.65","","0.2","","1.0","","768","","96.8","","11.86",""
6/7/2008,10:30:00,"","74","","6.74","","0.2","","1.1","","922","","97.2","","11.88",""
6/7/2008,10:45:00,"","74","","6.84","","0.2","","0.7","","530","","97.5","","11.89",""
6/7/2008,11:00:00,"","74","","6.95","","0.2","","0.5","","808","","97.9","","11.90",""
6/7/2008,11:15:00,"","74","","7.07","","0.2","","0.9","","1119","","98.4","","11.93",""
6/7/2008,11:30:00,"","74","","7.20","","0.2","","17.9","","944","","98.8","","11.94",""
6/7/2008,11:45:00,"","74","","7.34","","0.2","","6.8","","863","","99.4","","11.97",""
6/7/2008,12:00:00,"","74","","7.49","","0.2","","0.6","","815","","99.5","","11.95",""
6/7/2008,12:15:00,"","74","","7.64","","0.2","","1.1","","1140","","100.4","","12.00",""
6/7/2008,12:30:00,"","74","","7.80","","0.2","","0.4","","723","","100.6","","11.98",""
6/7/2008,12:45:00,"","74","","7.96","","0.2","","0.7","","957","","100.9","","11.97",""
6/7/2008,13:00:00,"","74","","8.12","","0.2","","8.5","","1070","","101.1","","11.95",""
6/7/2008,13:15:00,"","74","","8.29","","0.2","","0.7","","1006","","101.4","","11.94",""
6/7/2008,13:30:00,"","74","","8.48","","0.2","","0.6","","242","","101.5","","11.89",""
6/7/2008,13:45:00,"","74","","8.55","","0.2","","0.6","","183","","101.5","","11.87",""
6/7/2008,14:00:00,"","74","","8.61","","0.2","","0.7","","245","","101.5","","11.86",""
6/7/2008,14:15:00,"","74","","8.66","","0.2","","0.4","","766","","101.8","","11.87",""
6/7/2008,14:30:00,"","74","","8.82","","0.2","","0.4","","854","","102.1","","11.86",""
6/7/2008,14:45:00,"","74","","9.01","","0.2","","0.5","","464","","102.1","","11.82",""
6/7/2008,15:00:00,"","74","","9.15","","0.2","","0.3","","125","","102.5","","11.82",""
6/7/2008,15:15:00,"","74","","9.29","","0.2","","0.4","","85","","102.7","","11.80",""
6/7/2008,15:30:00,"","74","","9.40","","0.2","","10.2","","206","","102.7","","11.77",""
6/7/2008,15:45:00,"","74","","9.54","","0.2","","0.5","","163","","103.0","","11.76",""
6/7/2008,16:00:00,"","74","","9.71","","0.2","","0.0","","242","","103.4","","11.76",""
6/7/2008,16:15:00,"","74","","9.85","","0.2","","0.4","","169","","103.4","","11.72",""
6/7/2008,16:30:00,"","74","","9.91","","0.2","","0.6","","247","","103.3","","11.70",""
6/7/2008,16:45:00,"","74","","9.99","","0.2","","0.5","","242","","103.2","","11.66",""
6/7/2008,17:00:00,"","72","","10.05","","0.2","","0.5","","135","","103.3","","11.66",""
6/7/2008,17:15:00,"","74","","10.12","","0.2","","0.6","","178","","103.3","","11.64",""
6/7/2008,17:30:00,"","74","","10.19","","0.2","","0.4","","92","","103.4","","11.63",""
6/7/2008,17:45:00,"","74","","10.24","","0.2","","0.5","","120","","103.4","","11.62",""
6/7/2008,18:00:00,"","74","","10.30","","0.2","","0.5","","135","","103.3","","11.59",""
6/7/2008,18:15:00,"","74","","10.31","","0.2","","0.0","","173","","103.2","","11.57",""
6/7/2008,18:30:00,"","72","","10.26","","0.2","","0.5","","204","","102.9","","11.56",""
6/7/2008,18:45:00,"","74","","10.23","","0.2","","0.3","","148","","102.9","","11.56",""
6/7/2008,19:00:00,"","74","","10.13","","0.2","","0.5","","70","","102.2","","11.51",""
6/7/2008,19:15:00,"","74","","9.96","","0.2","","0.8","","50","","101.6","","11.49",""
6/7/2008,19:30:00,"","72","","9.82","","0.2","","0.5","","38","","100.9","","11.44",""
6/7/2008,19:45:00,"","72","","9.71","","0.2","","0.7","","32","","100.3","","11.40",""
6/7/2008,20:00:00,"","72","","9.65","","0.2","","0.9","","32","","99.8","","11.37",""
6/7/2008,20:15:00,"","72","","9.62","","0.2","","0.0","","26","","99.5","","11.35",""
6/7/2008,20:30:00,"","72","","9.60","","0.2","","0.2","","29","","99.1","","11.31",""
6/7/2008,20:45:00,"","72","","9.57","","0.2","","1.1","","57","","98.6","","11.25",""
6/7/2008,21:00:00,"","72","","9.54","","0.2","","0.6","","66","","98.3","","11.23",""
6/7/2008,21:15:00,"","72","","9.54","","0.2","","0.6","","47","","98.0","","11.19",""
6/7/2008,21:30:00,"","72","","9.53","","0.2","","0.7","","45","","97.6","","11.15",""
6/7/2008,21:45:00,"","72","","9.53","","0.2","","2.8","","47","","97.5","","11.14",""
6/7/2008,22:00:00,"","72","","9.52","","0.2","","1.7","","35","","97.3","","11.11",""
6/7/2008,22:15:00,"","72","","9.51","","0.2","","0.4","","35","","97.0","","11.09",""
6/7/2008,22:30:00,"","72","","9.50","","0.2","","0.5","","28","","96.5","","11.03",""
6/7/2008,22:45:00,"","72","","9.49","","0.2","","0.3","","22","","96.3","","11.01",""
6/7/2008,23:00:00,"","72","","9.47","","0.2","","0.2","","19","","96.0","","10.98",""
6/7/2008,23:15:00,"","72","","9.45","","0.2","","0.6","","16","","95.9","","10.97",""
6/7/2008,23:30:00,"","71","","9.41","","0.2","","0.2","","12","","95.4","","10.93",""
6/7/2008,23:45:00,"","72","","9.36","","0.2","","0.6","","9","","95.1","","10.91",""
6/8/2008,00:00:00,"","71","","9.30","","0.2","","0.5","","8","","94.9","","10.90",""
6/8/2008,00:15:00,"","71","","9.25","","0.2","","0.4","","6","","94.4","","10.86",""
6/8/2008,00:30:00,"","71","","9.19","","0.2","","0.8","","5","","94.2","","10.85",""
6/8/2008,00:45:00,"","71","","9.12","","0.2","","0.8","","4","","93.9","","10.83",""
6/8/2008,01:00:00,"","71","","9.05","","0.2","","0.3","","4","","93.7","","10.83",""
6/8/2008,01:15:00,"","71","","8.97","","0.2","","0.3","","3","","93.4","","10.81",""
6/8/2008,01:30:00,"","71","","8.90","","0.2","","0.6","","3","","93.2","","10.81",""
6/8/2008,01:45:00,"","71","","8.82","","0.2","","0.8","","3","","93.0","","10.80",""
6/8/2008,02:00:00,"","71","","8.75","","0.2","","0.3","","2","","92.7","","10.79",""
6/8/2008,02:15:00,"","71","","8.68","","0.2","","0.3","","3","","92.6","","10.79",""
6/8/2008,02:30:00,"","71","","8.63","","0.2","","1.2","","4","","92.5","","10.79",""
6/8/2008,02:45:00,"","71","","8.58","","0.2","","0.3","","4","","92.2","","10.78",""
6/8/2008,03:00:00,"","71","","8.52","","0.2","","2.5","","5","","92.0","","10.77",""
6/8/2008,03:15:00,"","69","","8.47","","0.2","","0.5","","5","","91.9","","10.77",""
6/8/2008,03:30:00,"","69","","8.42","","0.2","","0.1","","6","","91.7","","10.76",""
6/8/2008,03:45:00,"","69","","8.37","","0.2","","0.6","","7","","91.8","","10.78",""
6/8/2008,04:00:00,"","69","","8.32","","0.2","","0.0","","6","","91.6","","10.77",""
6/8/2008,04:15:00,"","69","","8.27","","0.2","","0.6","","7","","91.6","","10.78",""
6/8/2008,04:30:00,"","69","","8.21","","0.2","","0.1","","10","","91.4","","10.77",""
6/8/2008,04:45:00,"","69","","8.17","","0.2","","0.0","","14","","91.4","","10.79",""
6/8/2008,05:00:00,"","69","","8.12","","0.2","","0.6","","16","","91.4","","10.80",""
