"Plot Title: 10767519"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10767519, SEN S/N: 10767519)","Coupler Detached (LGR S/N: 10767519, SEN S/N: 10767519)","Coupler Attached (LGR S/N: 10767519, SEN S/N: 10767519)","Stopped (LGR S/N: 10767519, SEN S/N: 10767519)","End Of File (LGR S/N: 10767519, SEN S/N: 10767519)"
165,05/13/19 08:00:00 AM,10.124,,,,
166,05/13/19 09:00:00 AM,10.100,,,,
167,05/13/19 10:00:00 AM,10.296,,,,
168,05/13/19 11:00:00 AM,10.516,,,,
169,05/13/19 12:00:00 PM,11.102,,,,
170,05/13/19 01:00:00 PM,12.413,,,,
171,05/13/19 02:00:00 PM,13.497,,,,
172,05/13/19 03:00:00 PM,14.577,,,,
173,05/13/19 04:00:00 PM,15.270,,,,
174,05/13/19 05:00:00 PM,15.509,,,,
175,05/13/19 06:00:00 PM,15.079,,,,
176,05/13/19 07:00:00 PM,14.864,,,,
177,05/13/19 08:00:00 PM,14.505,,,,
178,05/13/19 09:00:00 PM,14.170,,,,
179,05/13/19 10:00:00 PM,13.858,,,,
180,05/13/19 11:00:00 PM,13.546,,,,
181,05/14/19 12:00:00 AM,13.209,,,,
182,05/14/19 01:00:00 AM,12.871,,,,
183,05/14/19 02:00:00 AM,12.461,,,,
184,05/14/19 03:00:00 AM,12.074,,,,
185,05/14/19 04:00:00 AM,11.662,,,,
186,05/14/19 05:00:00 AM,11.297,,,,
187,05/14/19 06:00:00 AM,10.956,,,,
188,05/14/19 07:00:00 AM,10.712,,,,
189,05/14/19 08:00:00 AM,10.565,,,,
190,05/14/19 09:00:00 AM,10.247,,,,
191,05/14/19 10:00:00 AM,10.075,,,,
192,05/14/19 11:00:00 AM,10.590,,,,
193,05/14/19 12:00:00 PM,11.200,,,,
194,05/14/19 01:00:00 PM,12.050,,,,
195,05/14/19 02:00:00 PM,12.944,,,,
196,05/14/19 03:00:00 PM,13.594,,,,
197,05/14/19 04:00:00 PM,14.290,,,,
198,05/14/19 05:00:00 PM,14.768,,,,
199,05/14/19 06:00:00 PM,15.247,,,,
200,05/14/19 07:00:00 PM,15.342,,,,
201,05/14/19 08:00:00 PM,14.912,,,,
202,05/14/19 09:00:00 PM,14.553,,,,
203,05/14/19 10:00:00 PM,14.242,,,,
204,05/14/19 11:00:00 PM,13.906,,,,
205,05/15/19 12:00:00 AM,13.522,,,,
206,05/15/19 01:00:00 AM,13.161,,,,
207,05/15/19 02:00:00 AM,12.775,,,,
208,05/15/19 03:00:00 AM,12.364,,,,
